,code,Area,Pct_Remain,Pct_Leave,Region,ResidentAge30to44share,ResidentAge45to59share,ResidentAge60plusshare,median_hourly_pay2005,median_hourly_pay_growth,umemployment_rate_aps,EU_2001Migrantshare,NONEU_2001Migrantshare,Leave?,Result
0,E06000001,Hartlepool,30.43,69.57,North East,0.22235388382932142,0.1868616763155816,0.2149055986277099,9.27,0.3419633225458468,10.1,0.004085271580277844,0.011939826883795466,1,leave
1,E06000002,Middlesbrough,34.52,65.48,North East,0.21642504912683994,0.175158503577917,0.19599569908420156,8.58,0.37762237762237766,12.1,0.006725742464128138,0.03264988320788995,1,leave
2,E06000003,Redcar and Cleveland,33.81,66.19,North East,0.21332978753989018,0.2019305407814162,0.22482965816634562,10.77,0.15970287836583108,8.3,0.005361814679584855,0.012858292844205503,1,leave
3,E06000004,Stockton-on-Tees,38.27,61.73,North East,0.2316544101161383,0.19216066544101162,0.19710999506748575,10.6,0.19433962264150947,6.8,0.005722837540917448,0.021843190888300973,1,leave
4,E06000005,Darlington,43.82,56.18,North East,0.2238496289785155,0.19542509045565118,0.22270487949467488,9.05,0.35359116022099435,6.6,0.009607718882233897,0.020574827776528547,1,leave
5,E06000006,Halton,42.58,57.42,North West,0.22151631023280996,0.20149228478613967,0.18179818624796967,9.35,0.2802139037433156,4.9,0.0047627910124526255,0.00955942068218733,1,leave
6,E06000007,Warrington,45.73,54.27,North West,0.24142244086246598,0.19626334519572955,0.1927831274858698,10.86,0.2661141804788214,4.3,0.007300607075570442,0.01948921917521457,1,leave
7,E06000008,Blackburn with Darwen,43.66,56.34,North West,0.2166945515385175,0.1713464755946752,0.1757838073761548,9.11,0.16026344676180032,7.6,0.007179748308721903,0.09603549865425183,1,leave
8,E06000009,Blackpool,32.54,67.46,North West,0.2120562540851683,0.19542742281228256,0.2554135068841675,8.49,0.18021201413427554,6.8,0.00865879971605884,0.01758467279998313,1,leave
9,E06000010,"Kingston upon Hull, City of",32.38,67.62,Yorkshire and The Humber,0.21851150914039633,0.16987630804346665,0.1988636596890664,8.36,0.32535885167464124,8.5,0.008493815402173333,0.019750481343574627,1,leave
10,E06000011,East Riding of Yorkshire,39.6,60.4,Yorkshire and The Humber,0.21133159086061384,0.21715433617838167,0.2423522744999411,11.07,0.1445347786811201,4.5,0.008315478824499463,0.01628394877002862,1,leave
11,E06000012,North East Lincolnshire,30.13,69.87,Yorkshire and The Humber,0.21747827242861392,0.18683495907683934,0.21691490641161168,8.96,0.2600446428571426,8.0,0.0071591793846017505,0.015881857715265953,1,leave
12,E06000013,North Lincolnshire,33.7,66.3,Yorkshire and The Humber,0.22124449620213413,0.2064455770073733,0.22184639742490955,10.76,0.20817843866171007,4.1,0.008779906967006654,0.021478714286648916,1,leave
13,E06000014,York,58.04,41.96,Yorkshire and The Humber,0.2204380045722111,0.18598628336664935,0.21790340927915888,10.6,0.17641509433962274,4.3,0.016041392867792416,0.030967342926877754,0,remain
14,E06000015,Derby,42.78,57.22,East Midlands,0.2194057048009093,0.17191531203204213,0.20816118498204847,10.75,0.2576744186046511,7.7,0.008732206325437062,0.06675898028036878,1,leave
15,E06000016,Leicester,51.08,48.92,East Midlands,0.21737204425534348,0.1554331400645182,0.17496365045852222,8.65,0.22196531791907512,9.4,0.011428224391881995,0.2103271994598476,0,remain
16,E06000017,Rutland,49.43,50.57,East Midlands,0.21262621878887827,0.21010907617972976,0.22315771200416631,10.91,0.25939505041246563,4.2,0.018921968579116395,0.03289644996094089,1,leave
17,E06000018,Nottingham,49.16,50.84,East Midlands,0.21458642335985137,0.1456245224504472,0.1836561942858855,9.55,0.1612565445026177,9.1,0.012996838809234872,0.07780499498104784,1,leave
18,E06000019,"Herefordshire, County of",40.78,59.22,West Midlands,0.2101320401896255,0.21076679380800706,0.24916080996849105,8.86,0.24943566591422134,4.0,0.009955910356777281,0.019420029621835526,1,leave
19,E06000020,Telford and Wrekin,36.78,63.22,West Midlands,0.23298278856781937,0.19476393494394442,0.1710405810832149,9.53,0.17943336831059822,5.6,0.01116690352123796,0.03470077372493289,1,leave
20,E06000021,Stoke-on-Trent,30.64,69.36,West Midlands,0.2172908459249655,0.18390432021808872,0.20998105021692515,8.93,0.18365061590145584,7.7,0.006250103891354577,0.02843714157482671,1,leave
21,E06000022,Bath and North East Somerset,57.85,42.15,South West,0.21132867960246096,0.195249645054425,0.22752602934216754,11.36,0.21478873239436633,4.2,0.017386417415996214,0.041623284429720776,0,remain
22,E06000023,"Bristol, City of",61.73,38.27,South West,0.22441574819699697,0.16489365894670469,0.19006344994285565,10.45,0.27177033492822966,5.2,0.016362991474324448,0.05770660641330478,0,remain
23,E06000024,North Somerset,47.83,52.17,South West,0.211143166245943,0.2150039243970217,0.24824993105789017,11.87,0.18955349620893008,3.6,0.009217029761778494,0.024028976899089963,1,leave
24,E06000025,South Gloucestershire,47.32,52.68,South West,0.2425897956774317,0.19672611656848815,0.19337162770058744,11.4,0.19035087719298244,3.1,0.008597913214813489,0.02456837417206411,1,leave
25,E06000026,Plymouth,40.06,59.94,South West,0.22207128614157529,0.18468344965104685,0.20810900631439017,9.34,0.34261241970021405,6.3,0.011149883682286473,0.027654536390827517,1,leave
26,E06000027,Torbay,36.84,63.16,South West,0.193314110372689,0.20362974727460564,0.2857847747983902,8.33,0.212484993997599,5.3,0.010832189721369867,0.022396805082262963,1,leave
27,E06000028,Bournemouth,45.12,54.88,South West,0.2052752012921857,0.17368028193142607,0.25690756467046816,9.36,0.29914529914529925,3.2,0.024179535498397003,0.048701695993734855,1,leave
28,E06000029,Poole,41.83,58.17,South West,0.21501504107370126,0.19528809441166262,0.25556085849820664,10.85,0.17235023041474665,3.5,0.014990454703228046,0.031369316209649424,1,leave
29,E06000030,Swindon,45.34,54.66,South West,0.25132323619418945,0.17834391366890492,0.1820539735963699,11.02,0.24954627949183303,4.2,0.01655642012540891,0.049180509966620566,1,leave
30,E06000031,Peterborough,39.11,60.89,East,0.22812233677856736,0.18160206585886288,0.18533137683341772,9.26,0.2516198704103672,5.4,0.019998590294820616,0.06988293039260289,1,leave
31,E06000032,Luton,43.45,56.55,East,0.22952091164011693,0.16339879916038857,0.16273166604292433,10.69,0.1665107577174931,6.1,0.01293587386302618,0.14930222214990427,1,leave
32,E06000033,Southend-on-Sea,41.92,58.08,East,0.21848655596947403,0.18441004137104774,0.238479442395652,11.01,0.24250681198910082,5.9,0.011481557747867488,0.04072833011974516,1,leave
33,E06000034,Thurrock,27.72,72.28,East,0.2371583477726231,0.18588256665362474,0.17245402716449612,11.09,0.2596934174932372,6.9,0.00684003130065396,0.03510843440836175,1,leave
34,E06000035,Medway,35.92,64.08,South East,0.2352578079907651,0.18938786635028537,0.17115051625729494,10.9,0.2834862385321101,9.2,0.011732027191688579,0.043096261142820495,1,leave
35,E06000036,Bracknell Forest,46.06,53.94,South East,0.270459873924665,0.17979875384292582,0.14577118512639464,13.07,0.11706197398622795,2.3,0.019768831476869465,0.0646888712517219,1,leave
36,E06000037,West Berkshire,51.78,48.22,South East,0.24382799360478397,0.20673020355335922,0.17822858052504448,12.22,0.26350245499181657,3.5,0.01481143110262107,0.04275243454247212,0,remain
37,E06000038,Reading,58.03,41.97,South East,0.23773550623357745,0.15437887851512272,0.163848046066976,12.12,0.22194719471947208,5.2,0.023536646726673004,0.10269329680773746,0,remain
38,E06000039,Slough,45.67,54.33,South East,0.24873390612008364,0.1577767139509688,0.15195646148806974,10.77,0.28412256267409475,4.4,0.017830297227611345,0.20556493402874013,1,leave
39,E06000040,Windsor and Maidenhead,53.9,46.1,South East,0.23491685749779234,0.20103123643602294,0.20319398919371978,15.95,0.1442006269592477,4.0,0.03005403140107464,0.09326777722898238,0,remain
40,E06000041,Wokingham,56.69,43.31,South East,0.24529218726078186,0.2076429983558434,0.1656271425623548,15.82,0.1731984829329961,2.8,0.019323832282715055,0.06546672080623582,0,remain
41,E06000042,Milton Keynes,48.59,51.41,South East,0.2495786184480602,0.19427017681121622,0.1394012276812665,10.84,0.2712177121771217,5.0,0.015531954968921602,0.07312479172401802,1,leave
42,E06000043,Brighton and Hove,68.62,31.38,South East,0.24545128058204238,0.16503710399205865,0.20603106324424877,11.11,0.28622862286228623,6.4,0.02862596189930473,0.06850216086870553,0,remain
43,E06000044,Portsmouth,41.92,58.08,South East,0.22850440008355605,0.16199698983936883,0.1948998666316731,10.04,0.3157370517928289,5.7,0.017412868704506135,0.05264031794152147,1,leave
